"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"white";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"tree";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,075981447281886;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,001712118751621;0,541910868066377;0,291233450131066;0,164932279376002;0,000211283674931877;4,41701827579063e-05;0,0184970611616571;0,0130718429641333;0,00980231774188082;2,08125868133187e-05;0,00360504706589225;2,35273039554814;0,0199551623581915
"street";-0,0571720388274864;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733338;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147708;0,2024066229813;0,780724941217664;0,00768768835062353;0,00900529943926517;1,17836083369615e-05;0,0179859808985605;0,0912280007709562;0,00118946980397181;0,00230936625625363;0,00360504706589225;3,79611562352367;0,0519505084896633
"simplistic";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"professionally";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"political";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"nose";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834366;0,000281905377084031;0,0188459744239173;0,838995585899975;0,0692783655155869;0,000666054614196453;3,4218982692124e-06;0,000300817450968753;0,0177325688072524;0,00242687057383483;0,00360504706589225;1,40302882827993;0,00709649871294247
"mapporn";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"map";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"magazine";-1,63448198103032;0,794062143796711;-2,43879132188691;-0,291093384766715;-0,527647705934898;-0,52717226040617;0,256110217247183;-0,786587523594256;-0,093886845751593;-0,170183114322549;0,400144988312746;0,0713816417059929;0,512042648321885;0,00550926898447129;0,0109214526749053;0,00963099624146414;0,00227310722767845;0,0214417496516716;0,000305474956096328;0,00100368872990396;0,00360504706589225;2,27248708046145;0,01861717515633
"fight";-0,0571720388274864;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733338;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147708;0,2024066229813;0,780724941217664;0,00768768835062353;0,00900529943926517;1,17836083369615e-05;0,0179859808985605;0,0912280007709562;0,00118946980397181;0,00230936625625363;0,00360504706589225;3,79611562352367;0,0519505084896633
"face";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"big";0,429832699281094;-0,030809033720447;0,288865744737257;2,2178407423865;-0,820479696246766;0,177544781783599;-0,0127258423521733;0,119317598916767;0,916091426493075;-0,338903691765762;0,0725981687834366;0,000281905377084031;0,0188459744239173;0,838995585899975;0,0692783655155869;0,000666054614196453;3,4218982692124e-06;0,000300817450968753;0,0177325688072524;0,00242687057383483;0,00360504706589225;1,40302882827993;0,00709649871294247
"background";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137171;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,0023644319201626;-0,0774969897991974;0,967599914264434;0,0295409278910327;0,00126022161807982;2,46310302223392e-06;0,00159647312343207;0,0371882500393798;0,00150215107507959;8,42669161733584e-05;2,18082240796987e-07;0,000234280607023988;0,00360504706589225;2,87163651883317;0,0297282862674411
"time";-0,0571720388274864;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733338;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147708;0,2024066229813;0,780724941217664;0,00768768835062352;0,00900529943926518;5,89180416848078e-06;0,00899299044928024;0,0456140003854781;0,000594734901985906;0,00115468312812681;0,00180252353294612;3,79611562352367;0,0259752542448317
"tank";-0,0571720388274864;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733338;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147708;0,2024066229813;0,780724941217664;0,00768768835062352;0,00900529943926518;5,89180416848078e-06;0,00899299044928024;0,0456140003854781;0,000594734901985906;0,00115468312812681;0,00180252353294612;3,79611562352367;0,0259752542448317
"steve";-3,21179192323316;-0,645507565919701;0,15288788783753;-0,00777776256137154;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,00236443192016255;-0,0774969897991975;0,967599914264433;0,0295409278910327;0,00126022161807982;2,46310302223382e-06;0,00159647312343208;0,0185941250196899;0,000751075537539796;4,21334580866792e-05;1,09041120398489e-07;0,000117140303511994;0,00180252353294612;2,87163651883317;0,0148641431337205
