"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"concept";0,0795103139014445;1,37998990258932;0,465077039395851;0,0545180953906915;0,946222162332436;0,318890885391697;0,00387567709538863;0,942784073517213;0,0533402493873993;8,58629766753918e-05;0,0258649010746072;0,0029377091954749;0,0135818523334778;1,12229449293446;0,017106953231307
"win";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"tim";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"studio";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"rhads";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"render";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"photograph";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"pennington";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"octane";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"masterpiece";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"hildebrandt";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
"ghibli";0,528914618491943;-1,02435506980361;-1,04540112283066;0,339864574585409;-0,658219659376866;-0,671743218016886;0,178559352795903;0,540844321501506;0,280596325702592;0,00291028009003358;0,0109160292227034;0,0113691912365733;0,0104031209362809;1,09989550182848;0,0125853848108456
